
p_name,name,type,zone,value
map_p_redist_DETO3,map_p_redist,fa,DETO3,0.0124450909723505
map_scale_DETO3,map_scale,fa,DETO3,0.537467268034299
map_shift_DETO3,map_shift,fa,DETO3,1.55613810354404
map_std_DETO3,map_std,fa,DETO3,3.21371669622794
mat_p_redist_DETO3,mat_p_redist,fa,DETO3,0.311481628757836
mat_scale_DETO3,mat_scale,fa,DETO3,1.2493288911382
mat_shift_DETO3,mat_shift,fa,DETO3,-6.82072897787792
mat_std_DETO3,mat_std,fa,DETO3,4.45495947754049
n_clmods_DETO3,n_clmods,chanloss,DETO3,0
pet_p_redist_DETO3,pet_p_redist,fa,DETO3,0.147004936490666
pet_scale_DETO3,pet_scale,fa,DETO3,1.46283831865538
pet_shift_DETO3,pet_shift,fa,DETO3,6.84564782154858
pet_std_DETO3,pet_std,fa,DETO3,13.0143823668548
ptps_p_redist_DETO3,ptps_p_redist,fa,DETO3,0.000146980164466404
ptps_scale_DETO3,ptps_scale,fa,DETO3,1.00789530694816
ptps_shift_DETO3,ptps_shift,fa,DETO3,12.6114072161793
ptps_std_DETO3,ptps_std,fa,DETO3,13.6849348254495
adc_a_DETO3-1,adc_a,snow,DETO3-1,0.185666999408987
adc_b_DETO3-1,adc_b,snow,DETO3-1,0.284631342050838
adc_c_DETO3-1,adc_c,snow,DETO3-1,0.7973631789298
adimp_DETO3-1,adimp,sac,DETO3-1,0.00014766606322513
alat_DETO3-1,alat,snow,DETO3-1,45.867
daygm_DETO3-1,daygm,snow,DETO3-1,0
efc_DETO3-1,efc,sac,DETO3-1,0.277113881414
elev_DETO3-1,elev,snow,DETO3-1,357.745
init_swe_DETO3-1,init_swe,snow,DETO3-1,0
lzfpm_DETO3-1,lzfpm,sac,DETO3-1,361.454493618071
lzfsm_DETO3-1,lzfsm,sac,DETO3-1,75.4271611718067
lzpk_DETO3-1,lzpk,sac,DETO3-1,0.00495796475499115
lzsk_DETO3-1,lzsk,sac,DETO3-1,0.0553085793812188
lztwm_DETO3-1,lztwm,sac,DETO3-1,184.921657088792
map_lower_01_DETO3-1,map_lower_01,fa_limit,DETO3-1,178.609627902857
map_lower_02_DETO3-1,map_lower_02,fa_limit,DETO3-1,143.683812925714
map_lower_03_DETO3-1,map_lower_03,fa_limit,DETO3-1,165.437441177143
map_lower_04_DETO3-1,map_lower_04,fa_limit,DETO3-1,111.1001207
map_lower_05_DETO3-1,map_lower_05,fa_limit,DETO3-1,68.03447785
map_lower_06_DETO3-1,map_lower_06,fa_limit,DETO3-1,44.12460695
map_lower_07_DETO3-1,map_lower_07,fa_limit,DETO3-1,12.1377202
map_lower_08_DETO3-1,map_lower_08,fa_limit,DETO3-1,15.2847929
map_lower_09_DETO3-1,map_lower_09,fa_limit,DETO3-1,46.0928974
map_lower_10_DETO3-1,map_lower_10,fa_limit,DETO3-1,112.621873525714
map_lower_11_DETO3-1,map_lower_11,fa_limit,DETO3-1,202.330767176471
map_lower_12_DETO3-1,map_lower_12,fa_limit,DETO3-1,200.041694523529
map_upper_01_DETO3-1,map_upper_01,fa_limit,DETO3-1,368.997992
map_upper_02_DETO3-1,map_upper_02,fa_limit,DETO3-1,311.976177333333
map_upper_03_DETO3-1,map_upper_03,fa_limit,DETO3-1,272.618030666667
map_upper_04_DETO3-1,map_upper_04,fa_limit,DETO3-1,188.160998666667
