year,month,day,hour,map_mm,mat_degc,ptps
1979,10,1,0,0,5.463,0.01
1979,10,1,6,0,11.102,0
1979,10,1,12,0,17.593,0
1979,10,1,18,0,9.037,0
1979,10,2,0,0,5.62,0.005
1979,10,2,6,0.127,10.361,0.00166666666666667
1979,10,2,12,0.0508,19.602,0
1979,10,2,18,0.127,9.287,0.00833333333333333
1979,10,3,0,0.1016,5.5,0.16
1979,10,3,6,0,12.556,0.00333333333333333
1979,10,3,12,0,21.639,0
1979,10,3,18,0,10.806,0
1979,10,4,0,0,6.222,0.025
1979,10,4,6,0,12.102,0
1979,10,4,12,0,19.306,0
1979,10,4,18,0,8.917,0
1979,10,5,0,0,5.093,0.0683333333333333
1979,10,5,6,0,9.796,0.0366666666666667
1979,10,5,12,0,18.593,0
1979,10,5,18,0,8.333,0.00333333333333333
1979,10,6,0,0,4.75,0.075
1979,10,6,6,0,10.741,0.00166666666666667
1979,10,6,12,0,17.269,0
1979,10,6,18,0,9.676,0
1979,10,7,0,0,7.713,0
1979,10,7,6,0,10.056,0
1979,10,7,12,0,15.778,0
1979,10,7,18,0,7.602,0
1979,10,8,0,0,4.491,0.0483333333333333
1979,10,8,6,0,9.389,0.025
1979,10,8,12,0,17.361,0
1979,10,8,18,0,8.528,0
1979,10,9,0,0,5.204,0.0316666666666667
1979,10,9,6,0,11.481,0
1979,10,9,12,0,20.963,0
1979,10,9,18,0,9.139,0.00166666666666667
1979,10,10,0,0,5.685,0.0783333333333333
1979,10,10,6,0,12.833,0.00333333333333333
1979,10,10,12,0,21.037,0
1979,10,10,18,0,10.435,0
1979,10,11,0,0,6.046,0.0683333333333333
1979,10,11,6,0,10.519,0.0383333333333333
1979,10,11,12,0,19.065,0
1979,10,11,18,0,8.194,0
1979,10,12,0,0,6.889,0
1979,10,12,6,0,10.62,0
1979,10,12,12,0,17.426,0
1979,10,12,18,0,9.074,0
1979,10,13,0,0,6.259,0
1979,10,13,6,1.0414,8.602,0
1979,10,13,12,0.762,12.787,0
1979,10,13,18,0,8.824,0
1979,10,14,0,2.3876,8.296,0
1979,10,14,6,3.429,8.824,0
1979,10,14,12,2.6924,10.778,0
1979,10,14,18,1.4732,8.778,0
1979,10,15,0,3.2258,8.741,0
