p_name,name,type,zone,value
cl_type_HHDW1,cl_type,chanloss,HHDW1,1
map_p_redist_HHDW1,map_p_redist,fa,HHDW1,0.133930033672966
map_scale_HHDW1,map_scale,fa,HHDW1,0.863391769384121
map_shift_HHDW1,map_shift,fa,HHDW1,-3.25071953801042
map_std_HHDW1,map_std,fa,HHDW1,2.82413726210732
mat_p_redist_HHDW1,mat_p_redist,fa,HHDW1,0.209581970179751
mat_scale_HHDW1,mat_scale,fa,HHDW1,0.522525085838814
mat_shift_HHDW1,mat_shift,fa,HHDW1,1.91869964341609
mat_std_HHDW1,mat_std,fa,HHDW1,2.58964964034102
n_clmods_HHDW1,n_clmods,chanloss,HHDW1,0
pet_p_redist_HHDW1,pet_p_redist,fa,HHDW1,0.496813766168874
pet_scale_HHDW1,pet_scale,fa,HHDW1,0.511029566386419
pet_shift_HHDW1,pet_shift,fa,HHDW1,13.058526016687
pet_std_HHDW1,pet_std,fa,HHDW1,19.8578802629912
ptps_p_redist_HHDW1,ptps_p_redist,fa,HHDW1,0.198803728455234
ptps_scale_HHDW1,ptps_scale,fa,HHDW1,1.07343137343425
ptps_shift_HHDW1,ptps_shift,fa,HHDW1,5.33630894048479
ptps_std_HHDW1,ptps_std,fa,HHDW1,17.9071138994788
adc_a_HHDW1-1,adc_a,snow,HHDW1-1,0.128159790770845
adc_b_HHDW1-1,adc_b,snow,HHDW1-1,15.2722687523934
adc_c_HHDW1-1,adc_c,snow,HHDW1-1,1.58690728025809
adimp_HHDW1-1,adimp,sac,HHDW1-1,0.000145776095348736
alat_HHDW1-1,alat,snow,HHDW1-1,47.248
daygm_HHDW1-1,daygm,snow,HHDW1-1,0
efc_HHDW1-1,efc,sac,HHDW1-1,0.455408506533
elev_HHDW1-1,elev,snow,HHDW1-1,656.198
init_swe_HHDW1-1,init_swe,snow,HHDW1-1,0
lzfpm_HHDW1-1,lzfpm,sac,HHDW1-1,353.571933732331
lzfsm_HHDW1-1,lzfsm,sac,HHDW1-1,82.8882371110848
lzpk_HHDW1-1,lzpk,sac,HHDW1-1,0.00640353301070571
lzsk_HHDW1-1,lzsk,sac,HHDW1-1,0.0735356154411131
lztwm_HHDW1-1,lztwm,sac,HHDW1-1,95.7538810785339
map_lower_01_HHDW1-1,map_lower_01,fa_limit,HHDW1-1,204.8879947
map_lower_02_HHDW1-1,map_lower_02,fa_limit,HHDW1-1,136.8247287
map_lower_03_HHDW1-1,map_lower_03,fa_limit,HHDW1-1,153.7009474
map_lower_04_HHDW1-1,map_lower_04,fa_limit,HHDW1-1,114.8598986
map_lower_05_HHDW1-1,map_lower_05,fa_limit,HHDW1-1,83.95863955
map_lower_06_HHDW1-1,map_lower_06,fa_limit,HHDW1-1,63.77404695
map_lower_07_HHDW1-1,map_lower_07,fa_limit,HHDW1-1,22.12297455
map_lower_08_HHDW1-1,map_lower_08,fa_limit,HHDW1-1,24.8799858
map_lower_09_HHDW1-1,map_lower_09,fa_limit,HHDW1-1,55.80733695
map_lower_10_HHDW1-1,map_lower_10,fa_limit,HHDW1-1,128.9749182
map_lower_11_HHDW1-1,map_lower_11,fa_limit,HHDW1-1,220.558921
map_lower_12_HHDW1-1,map_lower_12,fa_limit,HHDW1-1,196.6806425
map_upper_01_HHDW1-1,map_upper_01,fa_limit,HHDW1-1,321.965955
map_upper_02_HHDW1-1,map_upper_02,fa_limit,HHDW1-1,243.313585
map_upper_03_HHDW1-1,map_upper_03,fa_limit,HHDW1-1,241.422555
map_upper_04_HHDW1-1,map_upper_04,fa_limit,HHDW1-1,186.70651
map_upper_05_HHDW1-1,map_upper_05,fa_limit,HHDW1-1,144.86001
map_upper_06_HHDW1-1,map_upper_06,fa_limit,HHDW1-1,110.27283
map_upper_07_HHDW1-1,map_upper_07,fa_limit,HHDW1-1,43.78340095
map_upper_08_HHDW1-1,map_upper_08,fa_limit,HHDW1-1,47.23765
map_upper_09_HHDW1-1,map_upper_09,fa_limit,HHDW1-1,105.905935
map_upper_10_HHDW1-1,map_upper_10,fa_limit,HHDW1-1,209.875755
map_upper_11_HHDW1-1,map_upper_11,fa_limit,HHDW1-1,358.95915
map_upper_12_HHDW1-1,map_upper_12,fa_limit,HHDW1-1,316.794515
mat_lower_01_HHDW1-1,mat_lower_01,fa_limit,HHDW1-1,-1.180285714
