year,month,day,hour,map_mm,mat_degc,ptps
2003,10,1,0,0,7.889,0
2003,10,1,6,0,11.454,0
2003,10,1,12,0,19.093,0
2003,10,1,18,0,9.398,0
2003,10,2,0,0,7.407,0
2003,10,2,6,0,11.019,0
2003,10,2,12,0,18.037,0
2003,10,2,18,0,9.926,0
2003,10,3,0,0,7.352,0
2003,10,3,6,0,10.611,0
2003,10,3,12,0,16.019,0
2003,10,3,18,0,10.065,0
2003,10,4,0,0,8.593,0
2003,10,4,6,0,11.444,0
2003,10,4,12,0,16.657,0
2003,10,4,18,0,9.87,0
2003,10,5,0,0,8.556,0
2003,10,5,6,0,11.185,0
2003,10,5,12,0,16.583,0
2003,10,5,18,0,12.028,0
2003,10,6,0,0.0254,11.241,0
2003,10,6,6,0,13.648,0
2003,10,6,12,0.7874,15.426,0
2003,10,6,18,13.4366,13.306,0
2003,10,7,0,2.9972,12.13,0
2003,10,7,6,0.381,11.694,0
2003,10,7,12,0.0508,14.037,0
2003,10,7,18,0.1016,11.769,0
2003,10,8,0,0,11.278,0
2003,10,8,6,1.5748,13.88,0
2003,10,8,12,1.8796,13.222,0
2003,10,8,18,2.413,10.648,0
2003,10,9,0,0.9398,9.444,0
2003,10,9,6,0.127,10.176,0
2003,10,9,12,0.0508,12.37,0
2003,10,9,18,0.127,8.861,0
2003,10,10,0,0,7.981,0
2003,10,10,6,0.0508,9.361,0
2003,10,10,12,0.0254,11.074,0
2003,10,10,18,0,8.222,0
2003,10,11,0,0.0508,8.102,0
2003,10,11,6,1.27,9.954,0
2003,10,11,12,3.8862,10.991,0
2003,10,11,18,1.6764,8.889,0
2003,10,12,0,4.5212,8.185,0
2003,10,12,6,3.556,9.676,0
2003,10,12,12,7.4422,11.944,0
2003,10,12,18,2.8194,10.796,0
2003,10,13,0,0.2032,8.398,0
2003,10,13,6,0,9.12,0
2003,10,13,12,0,12.361,0
2003,10,13,18,0,6.509,0
2003,10,14,0,0,5.722,0
2003,10,14,6,0,7.806,0
2003,10,14,12,0,10.167,0
2003,10,14,18,0,4.944,0
2003,10,15,0,0,4.296,0
2003,10,15,6,4.2418,9.074,0
2003,10,15,12,7.1374,9.704,0
2003,10,15,18,1.27,7.833,0
2003,10,16,0,18.161,7.954,0
2003,10,16,6,29.6418,10.074,0
2003,10,16,12,50.7492,13.222,0
2003,10,16,18,39.2176,13.324,0
2003,10,17,0,21.6916,13.259,0
2003,10,17,6,9.525,13.565,0
2003,10,17,12,7.62,14.25,0
2003,10,17,18,0.0508,13.537,0
2003,10,18,0,0.2032,13.806,0
2003,10,18,6,0,15.352,0
2003,10,18,12,0,18.407,0
2003,10,18,18,0.0762,14.5,0
2003,10,19,0,8.2042,12.898,0
2003,10,19,6,11.3792,12.741,0
2003,10,19,12,2.1844,13.898,0
2003,10,19,18,0.254,11.907,0
2003,10,20,0,15.2654,11.972,0
2003,10,20,6,36.3474,15.75,0
2003,10,20,12,29.1846,15.556,0
2003,10,20,18,19.7866,13.528,0
2003,10,21,0,12.0142,12.333,0
2003,10,21,6,7.8232,12.37,0
2003,10,21,12,0.1524,16.37,0
2003,10,21,18,0,13.472,0
2003,10,22,0,0,14.194,0
2003,10,22,6,0,15.287,0
2003,10,22,12,15.9258,14.343,0
2003,10,22,18,15.367,10.407,0
2003,10,23,0,1.143,6.935,0
2003,10,23,6,0.6096,8.963,0
2003,10,23,12,0.1524,11.796,0
2003,10,23,18,0,6.009,0
2003,10,24,0,0,4.889,0
2003,10,24,6,0,7.315,0
2003,10,24,12,0,11.583,0
2003,10,24,18,0,7.287,0
2003,10,25,0,0,6.324,0
2003,10,25,6,0,8.296,0
2003,10,25,12,0,13.167,0
2003,10,25,18,0,5.519,0.00166666666666667
2003,10,26,0,0,3.37,0.00333333333333333
2003,10,26,6,0,7.806,0
2003,10,26,12,0,12.593,0
2003,10,26,18,0,7.306,0
2003,10,27,0,0.0762,6.731,0
2003,10,27,6,0.5842,8.991,0
2003,10,27,12,0.0508,11.13,0
2003,10,27,18,1.397,9.028,0
2003,10,28,0,18.796,10.435,0
2003,10,28,6,4.1656,11.213,0
2003,10,28,12,1.1938,11.037,0
2003,10,28,18,0.1524,6.824,0
2003,10,29,0,0.127,4.213,0
2003,10,29,6,0,5.241,0
2003,10,29,12,0,7.444,0
2003,10,29,18,0,4.657,0
2003,10,30,0,0,2.667,0.318333333333333
2003,10,30,6,0,3.528,0.293333333333333
2003,10,30,12,0,5.426,0.085
2003,10,30,18,0,1.435,0.935
2003,10,31,0,0,-0.278,1
2003,10,31,6,0,0.222,0.923333333333333
2003,10,31,12,0,3.63,0.403333333333333
2003,10,31,18,0,0.194,1
2003,11,1,0,0,-0.037,1
2003,11,1,6,0,1.574,0.626666666666667
2003,11,1,12,0,4.204,0.0483333333333333
2003,11,1,18,0,0.333,0.791666666666667
2003,11,2,0,0,-0.241,0.973333333333333
2003,11,2,6,0,1.38,0.501666666666667
2003,11,2,12,0,4.676,0.00666666666666667
2003,11,2,18,0,1.056,0.688333333333333
2003,11,3,0,0,-0.898,1
2003,11,3,6,0,0.917,0.636666666666667
2003,11,3,12,0,3.731,0.138333333333333
2003,11,3,18,0,-0.944,1
2003,11,4,0,0,-3.407,1
2003,11,4,6,0,-1,0.796666666666667
