year,month,day,hour,flow_cfs
2003,10,1,0,245.652961241614
2003,10,1,6,217.60650553087
2003,10,1,12,194.327670055474
2003,10,1,18,242.909587569343
2003,10,2,0,244.65951244944
2003,10,2,6,205.31525877198
2003,10,2,12,192.295266752294
2003,10,2,18,247.379848374044
2003,10,3,0,209.35973975951
2003,10,3,6,217.482966238866
2003,10,3,12,191.182700554166
2003,10,3,18,228.610001720855
2003,10,4,0,212.08892319815
2003,10,4,6,202.81325355107
2003,10,4,12,186.983926444645
2003,10,4,18,240.407905428829
2003,10,5,0,239.500905973734
2003,10,5,6,200.303719360651
2003,10,5,12,190.23820582494
2003,10,5,18,234.526465382068
2003,10,6,0,214.362312880334
2003,10,6,6,197.91437539241
2003,10,6,12,168.417521367579
2003,10,6,18,217.896115215682
2003,10,7,0,257.181663131803
2003,10,7,6,716.086161948341
2003,10,7,12,453.219089840723
2003,10,7,18,327.450792409922
2003,10,8,0,245.306248750394
2003,10,8,6,223.179965678388
2003,10,8,12,227.332151086358
2003,10,8,18,966.421153705019
2003,10,9,0,648.827208054106
2003,10,9,6,383.569630947386
2003,10,9,12,313.568173299488
2003,10,9,18,223.429310026852
2003,10,10,0,334.038567711983
2003,10,10,6,364.703833342994
2003,10,10,12,322.22412548202
2003,10,10,18,347.090295937224
2003,10,11,0,333.92491391947
2003,10,11,6,253.91403428813
2003,10,11,12,225.599879385497
2003,10,11,18,225.599879385497
2003,10,12,0,583.847524032345
2003,10,12,6,832.189373230371
2003,10,12,12,1157.66788364936
2003,10,12,18,1947.93956993183
2003,10,13,0,3060.5587016382
2003,10,13,6,1313.32785064862
2003,10,13,12,803.501275292661
2003,10,13,18,592.821599251112
2003,10,14,0,480.139963693392
2003,10,14,6,398.306944323104
2003,10,14,12,354.590328482763
2003,10,14,18,309.902232290415
2003,10,15,0,282.26101100614
2003,10,15,6,262.45244788161
2003,10,15,12,242.263798044563
2003,10,15,18,317.971234933489
2003,10,16,0,344.364029977285
