year,month,day,hour,flow_cfs
2003,10,1,0,595.631320408034
2003,10,1,6,569.299171699861
2003,10,1,12,548.139379477388
2003,10,1,18,548.139379477388
2003,10,2,0,561.197009466581
2003,10,2,6,542.192408750043
2003,10,2,12,522.258864310703
2003,10,2,18,558.139244301515
2003,10,3,0,537.633207629353
2003,10,3,6,528.075075501962
2003,10,3,12,518.09255989701
2003,10,3,18,538.057591106915
2003,10,4,0,533.908545651081
2003,10,4,6,514.722714279752
2003,10,4,12,519.729744574303
2003,10,4,18,560.787392989614
2003,10,5,0,555.62105435452
2003,10,5,6,546.41943364177
2003,10,5,12,516.286008992407
2003,10,5,18,562.490593454763
2003,10,6,0,545.972111462678
2003,10,6,6,525.749514648362
2003,10,6,12,525.749514648362
2003,10,6,18,551.34780562375
2003,10,7,0,704.353501912259
2003,10,7,6,1070.49940851806
2003,10,7,12,1040.763313837
2003,10,7,18,984.264733942992
2003,10,8,0,816.578107897976
2003,10,8,6,661.464988579236
2003,10,8,12,640.189798888091
2003,10,8,18,1508.60435991756
2003,10,9,0,1202.88464116212
2003,10,9,6,836.851155734315
2003,10,9,12,733.704385376364
2003,10,9,18,727.865888941009
2003,10,10,0,760.348841199136
2003,10,10,6,686.32580324226
2003,10,10,12,652.920565031354
2003,10,10,18,635.711805953008
2003,10,11,0,617.576586102532
2003,10,11,6,562.937354534561
2003,10,11,12,548.378629848322
2003,10,11,18,548.378629848322
2003,10,12,0,823.314118027482
2003,10,12,6,1075.95274043226
2003,10,12,12,1214.60053765516
2003,10,12,18,1684.39885882367
2003,10,13,0,1786.23272576685
2003,10,13,6,1590.52302418222
2003,10,13,12,1218.49792252734
2003,10,13,18,953.945340845973
2003,10,14,0,848.437530161319
2003,10,14,6,762.549622918208
2003,10,14,12,708.948654728997
2003,10,14,18,674.563127966107
2003,10,15,0,634.953854373403
2003,10,15,6,594.820391891164
2003,10,15,12,545.663071222934
2003,10,15,18,566.450317991413
2003,10,16,0,919.726863454586
2003,10,16,6,1992.18925295778
2003,10,16,12,4339.34974043314
2003,10,16,18,10420.6691349012
2003,10,17,0,16054.387790548
2003,10,17,6,13865.5850816904
2003,10,17,12,10290.9844801331
2003,10,17,18,8339.51402384147
2003,10,18,0,5353.35129696875
2003,10,18,6,3041.66338103853
2003,10,18,12,2197.10159537749
2003,10,18,18,1601.32937293692
2003,10,19,0,1848.23252947013
2003,10,19,6,2589.01219298267
2003,10,19,12,4306.30373813989
2003,10,19,18,4846.41147008813
2003,10,20,0,2668.13315048102
2003,10,20,6,1731.97446076673
2003,10,20,12,9701.67386123851
2003,10,20,18,14262.5644055753
2003,10,21,0,10734.2144302129
2003,10,21,6,6060.88994612807
2003,10,21,12,4836.1968449193
2003,10,21,18,3155.59609289559
2003,10,22,0,2926.73282229045
2003,10,22,6,2804.20736064107
2003,10,22,12,2572.20459339379
2003,10,22,18,2158.63444308342
2003,10,23,0,3520.87667800083
2003,10,23,6,2512.34380568868
2003,10,23,12,2310.54912250084
2003,10,23,18,2169.29284426934
2003,10,24,0,1935.78174756588
2003,10,24,6,1652.59163855125
2003,10,24,12,1594.60596702314
2003,10,24,18,1468.97034537889
2003,10,25,0,1351.74091376598
2003,10,25,6,1184.03346852013
2003,10,25,12,1213.38967021897
2003,10,25,18,1174.24806795385
2003,10,26,0,1184.92613471709
2003,10,26,6,1086.02783394259
2003,10,26,12,1086.02783394259
2003,10,26,18,1016.28292717563
2003,10,27,0,998.358331850485
2003,10,27,6,927.670760895031
2003,10,27,12,861.968920535658
2003,10,27,18,830.588937080435
2003,10,28,0,857.246506136649
2003,10,28,6,1129.86959234355
2003,10,28,12,2352.1830604243
2003,10,28,18,2300.82535168141
2003,10,29,0,1816.88126981247
2003,10,29,6,1367.2701270995
2003,10,29,12,1183.02805323503
2003,10,29,18,1124.84634569888
2003,10,30,0,992.956504561002
2003,10,30,6,928.868129572212
2003,10,30,12,895.979021980063
2003,10,30,18,870.066391755946
2003,10,31,0,777.159487266351
2003,10,31,6,771.944467099873
2003,10,31,12,752.970411634287
2003,10,31,18,718.018204197683
2003,11,1,0,704.985277692145
2003,11,1,6,692.090440768132
2003,11,1,12,686.21697168099
2003,11,1,18,652.933980187191
2003,11,2,0,656.542867552907
2003,11,2,6,638.384966624921
2003,11,2,12,632.446501819108
2003,11,2,18,605.723410192949
2003,11,3,0,590.331447389284
2003,11,3,6,580.861868241904
2003,11,3,12,560.045999243474
2003,11,3,18,560.045999243474
2003,11,4,0,543.775085297727
2003,11,4,6,528.171061886286
2003,11,4,12,518.091461468608
2003,11,4,18,508.011861050931
2003,11,5,0,515.664808267451
2003,11,5,6,484.285091573555
2003,11,5,12,484.285091573555
2003,11,5,18,494.270351193628
2003,11,6,0,478.662596676047
2003,11,6,6,464.090058873332
2003,11,6,12,469.069565942788
2003,11,6,18,469.069565942788
2003,11,7,0,460.868949913919
2003,11,7,6,461.631521814219
2003,11,7,12,447.642687819849
2003,11,7,18,451.639497532526
2003,11,8,0,449.324275861114
2003,11,8,6,451.009868224689
2003,11,8,12,432.888936019233
2003,11,8,18,455.036742048124
2003,11,9,0,432.76783806703
2003,11,9,6,419.688404726197
2003,11,9,12,394.109201729341
2003,11,9,18,482.215345385179
2003,11,10,0,415.254742898823
2003,11,10,6,423.989867619512
2003,11,10,12,437.082191322728
2003,11,10,18,479.380467902346
2003,11,11,0,487.78807188812
2003,11,11,6,509.928681304254
2003,11,11,12,611.143258878823
2003,11,11,18,500.289197725724
2003,11,12,0,485.534188243177
2003,11,12,6,478.992779446372
2003,11,12,12,461.030550217133
2003,11,12,18,461.030550217133
2003,11,13,0,456.328345464122
2003,11,13,6,433.632883251595
2003,11,13,12,435.428606669821
2003,11,13,18,438.628653795968
2003,11,14,0,432.309861370712
2003,11,14,6,425.883308576711
2003,11,14,12,416.778914806662
2003,11,14,18,416.778914806662
2003,11,15,0,424.794610134805
2003,11,15,6,427.733052829591
2003,11,15,12,436.790929242453
2003,11,15,18,464.970989193579
2003,11,16,0,452.228427544235
2003,11,16,6,457.628058671264
2003,11,16,12,476.864636358773
2003,11,16,18,577.097330625266
2003,11,17,0,612.580096343218
2003,11,17,6,649.102852082228
2003,11,17,12,693.62972455738
2003,11,17,18,670.871545292302
2003,11,18,0,776.207948081585
2003,11,18,6,1806.02264026898
2003,11,18,12,2668.90012395304
2003,11,18,18,1966.55798607066
2003,11,19,0,2660.90852832927
2003,11,19,6,4795.54499744257
2003,11,19,12,3500.85142361898
2003,11,19,18,2796.53811945895
2003,11,20,0,2353.04063717988
2003,11,20,6,1953.74927974075
2003,11,20,12,1702.27660017016
2003,11,20,18,1547.52418197287
2003,11,21,0,1400.0609352041
2003,11,21,6,1365.43386162849
2003,11,21,12,1151.44795794044
2003,11,21,18,1212.5867875656
2003,11,22,0,1060.8548345672
2003,11,22,6,1012.24592146988
2003,11,22,12,956.228428728342
2003,11,22,18,929.693826903403
2003,11,23,0,870.895350996423
2003,11,23,6,864.983035400454
2003,11,23,12,808.049971869477
2003,11,23,18,808.049971869477
2003,11,24,0,830.898277510405
2003,11,24,6,780.084908641991
2003,11,24,12,743.31657536842
2003,11,24,18,685.679728615253
2003,11,25,0,670.948724874841
2003,11,25,6,663.218196295076
2003,11,25,12,657.305404054704
2003,11,25,18,635.625165840006
2003,11,26,0,616.769469482384
2003,11,26,6,592.746024692392
2003,11,26,12,561.915275085908
2003,11,26,18,546.002630127724
2003,11,27,0,549.858935326649
2003,11,27,6,514.074236664116
2003,11,27,12,509.121691031514
2003,11,27,18,499.21659976631
2003,11,28,0,509.393629804763
2003,11,28,6,603.527972457476
2003,11,28,12,981.667622457381
2003,11,28,18,1805.24296186395
2003,11,29,0,1829.47760172178
2003,11,29,6,1419.26728719842
2003,11,29,12,1168.24042007489
2003,11,29,18,1062.03674552262
2003,11,30,0,951.709920133022
2003,11,30,6,910.376407064043
2003,11,30,12,821.487723541695
2003,11,30,18,766.786995220251
2003,12,1,0,722.901564917413
2003,12,1,6,713.268042712593
2003,12,1,12,684.778021035058
