year,month,day,hour,flow_cfs
2003,10,1,0,100.013334090953
2003,10,1,6,99.9793884299967
2003,10,1,12,99.9793884299967
2003,10,1,18,99.9793884299967
2003,10,2,0,98.6578998734338
2003,10,2,6,98.5861785085961
2003,10,2,12,98.5861785085961
2003,10,2,18,98.5861785085961
2003,10,3,0,96.3493324129687
2003,10,3,6,96.6085399407154
2003,10,3,12,96.6085399407154
2003,10,3,18,96.6085399407154
2003,10,4,0,96.4964170482074
2003,10,4,6,95.1326089816273
2003,10,4,12,95.1326089816273
2003,10,4,18,95.1326089816273
2003,10,5,0,95.1860732496454
2003,10,5,6,93.9864001890232
2003,10,5,12,93.9864001890232
2003,10,5,18,93.9864001890232
2003,10,6,0,92.3495254974742
2003,10,6,6,91.9651519538247
2003,10,6,12,91.9651519538247
2003,10,6,18,91.9651519538247
2003,10,7,0,111.334351683705
2003,10,7,6,211.852247950361
2003,10,7,12,317.778371925541
2003,10,7,18,211.852247950361
2003,10,8,0,148.990809769374
2003,10,8,6,105.524274309298
2003,10,8,12,96.9260001063182
2003,10,8,18,102.397629144578
2003,10,9,0,754.821692249867
2003,10,9,6,543.918437823982
2003,10,9,12,395.110563324968
2003,10,9,18,360.474247708818
2003,10,10,0,322.726735671751
2003,10,10,6,341.597276358086
2003,10,10,12,328.0808373655
2003,10,10,18,315.793165554058
2003,10,11,0,361.561606160604
2003,10,11,6,426.692697926859
2003,10,11,12,350.586690401893
2003,10,11,18,315.652785308466
2003,10,12,0,418.331568831033
2003,10,12,6,1710.75032613688
2003,10,12,12,3449.54573958747
2003,10,12,18,4599.39431944996
2003,10,13,0,7113.91275703963
2003,10,13,6,2720.19914769787
2003,10,13,12,1723.91221705955
2003,10,13,18,1253.75433967968
2003,10,14,0,1029.09613817178
2003,10,14,6,889.393388683985
2003,10,14,12,752.07911196082
2003,10,14,18,653.817519443326
2003,10,15,0,582.229162479603
2003,10,15,6,522.681918433052
2003,10,15,12,484.10301492966
2003,10,15,18,495.303341753225
